SampleName,SMILES,abs,DFT,dipole moment,Excitation energie,solvent,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,HOMO,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_L,Length_Ratio,ESPmin,ESPmax,Nu,Pi,MPI,Nonpolar_Area,Polar_Area
23e,COC1=CC([N+]([O-])=O)=CC=C1/N=N/C2=CC=C(N(CCO)CCO)C=C2,487,550.02,8.8793,2.2542,2.38,8.21,9.44,11.965,5.361466683660358,-0.209337,-0.112822,0.096515,45,9.719,5.285,18.968,0.5500202980919793,-43.65038,58.81539,0.24999908,0.02387769,0.6518903,38.29,61.71
24e,CC1=C(/N=N/C2=C(Cl)C=C([N+]([O-])=O)C=C2Cl)C=CC(N(CCO)CCO)=C1,447,537.67,10.3337,2.3059,2.38,9.54,9.57,12.42,5.163443618361684,-0.216371,-0.118719,0.097652,44,9.688,8.083,19.176,0.5309558090596965,-39.5314,60.64251,0.2346672,0.02112034,0.57599216,50.98,49.02
25e,COCCCNC1=CC=C([N+]([O-])=O)C=N1,360,348.04,6.2306,3.5623,2.38,13.66,16.1,20.940000000000005,10.07665619141588,-0.241332,-0.099317,0.142015,23,7.864,4.191,15.712,0.591432658285026,-45.14734,46.55836,0.23042442,0.02604581,0.76821037,28.5,71.5
27e,C1(C=CC=N2)=C2C(/C=N/CC/N=C/C3=CC=CC4=C3N=CC=C4)=CC=C1,312,320.64,5.6195,3.8668,2.38,5.11,4.09,5.4575000000000005,1.8399371592530003,-0.231973,-0.076507,0.155466,36,9.463,5.492,18.854,0.5659482499849913,-62.33321,23.73225,0.14554921,0.02052176,0.5586749,50.99,49.01
28e,[O-][N+](C1=C(N2C(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=N2)C=CC([N+]([O-])=O)=C1)=O,409,448.17,0.9681,2.7665,2.38,7.94,9.24,9.8375,1.7073718839198446,-0.236985,-0.128036,0.10895,31,7.957,7.373,15.911,0.4549119396157365,-31.43195,32.72165,0.24508675,0.02024884,0.56289748,37.8,62.2
29e,[O-][N+](C1=CC([N+]([O-])=O)=C(N2CCC(C3=CC=CC=C3)=N2)C=C1)=O,418,426.11,11.2431,2.9096,2.38,7.84,14.97,13.43,3.5775480430037554,-0.228476,-0.110383,0.118093,31,7.908,5.745,15.777,0.5168550368550368,-42.0004,36.44282,0.24643647,0.02428113,0.72211151,35.25,64.75
30e,BrC1=NN(C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2)CC1,397,392.3,7.7048,3.1604,2.38,10.2,10.84,12.3775,2.2650648445463983,-0.238092,-0.111547,0.126545,16,6.681,5.286,13.279,0.49125078613443823,-39.89692,47.02729,0.23510622,0.03175994,0.88906241,27.58,72.42
31e,BrC1=NN(C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2)C(C1)C3=CC=CC=C3,378,390.48,6.9906,3.1752,2.38,10.11,14.58,13.57,1.9998124912101136,-0.241153,-0.114198,0.126954,21,6.643,9.063,13.285,0.401105039099061,-39.41058,33.17471,0.2355808,0.02143849,0.63457932,39.9,60.1
32e,OCCN(CCO)C1=CC=C([N+]([O-])=O)C=N1,370,365.07,6.2116,3.3962,2.38,12.18,15.92,17.5375,5.5096477881984445,-0.236802,-0.100815,0.135987,28,6.583,5.95,12.735,0.47484991983295427,-43.96132,58.44805,0.24954669,0.02661286,0.78327862,29.76,70.24
33e,COC1=C(O)C(/C=C(C(O)=N2)/C(O)=NC2=O)=CC=C1,352,370.49,3.5451,3.3465,2.38,12.06,10.42,9.62,1.734546050123778,-0.2433,-0.126943,0.116356,28,6.327,5.749,12.875,0.48094882330967503,-59.60135,60.95885,0.20531898,0.03661872,1.04709076,16.68,83.32
